recorded_at,source_timestamp,sequence,transport,fingers_json,status_json
1784118800.0480504,1784118800.0478945,1261,ble,"{""index"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-0.40138064657918626,-0.7601536017900026],""has_data"":true,""last_update_ts"":1784118800.0386598,""raw"":[16972,16137,17924]},""middle"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-0.02307337848598756,-0.030528257100002953],""has_data"":true,""last_update_ts"":1784118800.0386598,""raw"":[15770,15722,15801]},""pinky"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[-1.025323256471145,-0.746832180510002],""has_data"":true,""last_update_ts"":1784118800.0386598,""raw"":[17423,15290,17702]},""ring"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[0.27543845567649505,0.25449465236999735],""has_data"":true,""last_update_ts"":1784118800.0386598,""raw"":[15801,16374,15629]},""thumb"":{""age_s"":0.00923466682434082,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.0386598,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997153,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009260004007956013,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1260,""timestamp_us"":9764848512},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.0386598,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.0386598,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.0386598,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.0386598,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.0386598,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.0979316,1784118800.0978003,1262,ble,"{""index"":{""age_s"":0.009140729904174805,""channels"":3,""force"":[-0.41916637582880334,-0.7737525526800013],""has_data"":true,""last_update_ts"":1784118800.0886595,""raw"":[16977,16105,17935]},""middle"":{""age_s"":0.009140729904174805,""channels"":3,""force"":[-0.022592683100862487,-0.04079685267000066],""has_data"":true,""last_update_ts"":1784118800.0886595,""raw"":[15777,15730,15827]},""pinky"":{""age_s"":0.009140729904174805,""channels"":3,""force"":[-1.0286881241670205,-0.7410040587000015],""has_data"":true,""last_update_ts"":1784118800.0886595,""raw"":[17422,15282,17687]},""ring"":{""age_s"":0.009140729904174805,""channels"":3,""force"":[0.27880332337237235,0.27308913623999675],""has_data"":true,""last_update_ts"":1784118800.0886595,""raw"":[15807,16387,15605]},""thumb"":{""age_s"":0.009140729904174805,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.0886595,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997158,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009159786990494467,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1261,""timestamp_us"":9764895616},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.0886595,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.0886595,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.0886595,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.0886595,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.0886595,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.1479554,1784118800.1478267,1263,ble,"{""index"":{""age_s"":0.009166717529296875,""channels"":3,""force"":[-0.40138064657918626,-0.7640390163300017],""has_data"":true,""last_update_ts"":1784118800.13866,""raw"":[16968,16133,17927]},""middle"":{""age_s"":0.009166717529296875,""channels"":3,""force"":[-0.024034769256241262,-0.03496873086000374],""has_data"":true,""last_update_ts"":1784118800.13866,""raw"":[15771,15721,15809]},""pinky"":{""age_s"":0.009166717529296875,""channels"":3,""force"":[-1.0286881241670187,-0.7459995916800031],""has_data"":true,""last_update_ts"":1784118800.13866,""raw"":[17427,15287,17701]},""ring"":{""age_s"":0.009166717529296875,""channels"":3,""force"":[0.26870872028474935,0.2517193562700015],""has_data"":true,""last_update_ts"":1784118800.13866,""raw"":[15805,16364,15631]},""thumb"":{""age_s"":0.009166717529296875,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.13866,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997163,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00918690100661479,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1262,""timestamp_us"":9764942624},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.13866,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.13866,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.13866,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.13866,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.13866,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.19794,1784118800.1978226,1264,ble,"{""index"":{""age_s"":0.009163379669189453,""channels"":3,""force"":[-0.39849647426843937,-0.7618187794500022],""has_data"":true,""last_update_ts"":1784118800.1886592,""raw"":[16966,16137,17924]},""middle"":{""age_s"":0.009163379669189453,""channels"":3,""force"":[-0.016824338479365153,-0.03469120125000025],""has_data"":true,""last_update_ts"":1784118800.1886592,""raw"":[15758,15723,15803]},""pinky"":{""age_s"":0.009163379669189453,""channels"":3,""force"":[-1.0219583887752748,-0.7432242955800001],""has_data"":true,""last_update_ts"":1784118800.1886592,""raw"":[17420,15294,17696]},""ring"":{""age_s"":0.009163379669189453,""channels"":3,""force"":[0.28120680029799416,0.2539395931499975],""has_data"":true,""last_update_ts"":1784118800.1886592,""raw"":[15792,16377,15627]},""thumb"":{""age_s"":0.009163379669189453,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.1886592,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997169,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009183253001538105,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1263,""timestamp_us"":9764999008},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.1886592,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.1886592,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.1886592,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.1886592,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.1886592,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.247935,1784118800.2478018,1265,ble,"{""index"":{""age_s"":0.00914144515991211,""channels"":3,""force"":[-0.40330342811968656,-0.7729199638500033],""has_data"":true,""last_update_ts"":1784118800.2386603,""raw"":[16970,16131,17943]},""middle"":{""age_s"":0.00914144515991211,""channels"":3,""force"":[-0.026918941566988153,-0.038299086180002107],""has_data"":true,""last_update_ts"":1784118800.2386603,""raw"":[15771,15715,15812]},""pinky"":{""age_s"":0.00914144515991211,""channels"":3,""force"":[-1.0166707395389007,-0.739061351430002],""has_data"":true,""last_update_ts"":1784118800.2386603,""raw"":[17416,15301,17690]},""ring"":{""age_s"":0.00914144515991211,""channels"":3,""force"":[0.2913014033856154,0.2625430110599991],""has_data"":true,""last_update_ts"":1784118800.2386603,""raw"":[15796,16402,15626]},""thumb"":{""age_s"":0.00914144515991211,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.2386603,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997174,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009164136004983447,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1264,""timestamp_us"":9765046144},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.2386603,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.2386603,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.2386603,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.2386603,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.2386603,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.297935,1784118800.297802,1266,ble,"{""index"":{""age_s"":0.009142875671386719,""channels"":3,""force"":[-0.39657369272794085,-0.7607086610100025],""has_data"":true,""last_update_ts"":1784118800.288659,""raw"":[16965,16140,17923]},""middle"":{""age_s"":0.009142875671386719,""channels"":3,""force"":[-0.02307337848598756,-0.03052825710000473],""has_data"":true,""last_update_ts"":1784118800.288659,""raw"":[15774,15726,15805]},""pinky"":{""age_s"":0.009142875671386719,""channels"":3,""force"":[-1.0176321303091491,-0.7446119436299998],""has_data"":true,""last_update_ts"":1784118800.288659,""raw"":[17416,15299,17699]},""ring"":{""age_s"":0.009142875671386719,""channels"":3,""force"":[0.27976471414261894,0.25366206353999843],""has_data"":true,""last_update_ts"":1784118800.288659,""raw"":[15792,16374,15626]},""thumb"":{""age_s"":0.009142875671386719,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.288659,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997179,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009163262991933152,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1265,""timestamp_us"":9765093120},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.288659,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.288659,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.288659,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.288659,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.288659,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.347936,1784118800.347801,1267,ble,"{""index"":{""age_s"":0.009140253067016602,""channels"":3,""force"":[-0.3970543881130659,-0.759321012960001],""has_data"":true,""last_update_ts"":1784118800.3386607,""raw"":[16965,16139,17920]},""middle"":{""age_s"":0.009140253067016602,""channels"":3,""force"":[-0.02211198771573919,-0.03330355320000056],""has_data"":true,""last_update_ts"":1784118800.3386607,""raw"":[15773,15727,15810]},""pinky"":{""age_s"":0.009140253067016602,""channels"":3,""force"":[-1.0209969980050246,-0.7443344140200008],""has_data"":true,""last_update_ts"":1784118800.3386607,""raw"":[17421,15297,17700]},""ring"":{""age_s"":0.009140253067016602,""channels"":3,""force"":[0.2759191510616219,0.25310700431999855],""has_data"":true,""last_update_ts"":1784118800.3386607,""raw"":[15800,16374,15631]},""thumb"":{""age_s"":0.009140253067016602,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.3386607,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997184,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009160558998701163,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1266,""timestamp_us"":9765140128},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.3386607,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.3386607,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.3386607,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.3386607,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.3386607,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.3979259,1784118800.3978035,1268,ble,"{""index"":{""age_s"":0.009143590927124023,""channels"":3,""force"":[-0.4052262096601851,-0.7623738386700021],""has_data"":true,""last_update_ts"":1784118800.38866,""raw"":[16974,16131,17926]},""middle"":{""age_s"":0.009143590927124023,""channels"":3,""force"":[-0.022592683100867816,-0.03580131969000355],""has_data"":true,""last_update_ts"":1784118800.38866,""raw"":[15768,15721,15809]},""pinky"":{""age_s"":0.009143590927124023,""channels"":3,""force"":[-1.0190742164645243,-0.7465546509000012],""has_data"":true,""last_update_ts"":1784118800.38866,""raw"":[17413,15293,17698]},""ring"":{""age_s"":0.009143590927124023,""channels"":3,""force"":[0.273034978750875,0.2542171227599974],""has_data"":true,""last_update_ts"":1784118800.38866,""raw"":[15795,16363,15621]},""thumb"":{""age_s"":0.009143590927124023,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.38866,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997190,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009165308001684025,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1267,""timestamp_us"":9765196608},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.38866,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.38866,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.38866,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.38866,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.38866,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.4479482,1784118800.4478056,1269,ble,"{""index"":{""age_s"":0.009149789810180664,""channels"":3,""force"":[-0.4008999511940612,-0.7571007760800015],""has_data"":true,""last_update_ts"":1784118800.4386559,""raw"":[16976,16142,17923]},""middle"":{""age_s"":0.009149789810180664,""channels"":3,""force"":[-0.023073378485989338,-0.028863079439999773],""has_data"":true,""last_update_ts"":1784118800.4386559,""raw"":[15775,15727,15803]},""pinky"":{""age_s"":0.009149789810180664,""channels"":3,""force"":[-1.0248425610860217,-0.7465546508999994],""has_data"":true,""last_update_ts"":1784118800.4386559,""raw"":[17420,15288,17699]},""ring"":{""age_s"":0.009149789810180664,""channels"":3,""force"":[0.2725542833657446,0.25393959315000014],""has_data"":true,""last_update_ts"":1784118800.4386559,""raw"":[15805,16372,15631]},""thumb"":{""age_s"":0.009149789810180664,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.4386559,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997195,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009174927006824873,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1268,""timestamp_us"":9765243680},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.4386559,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.4386559,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.4386559,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.4386559,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.4386559,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.4979494,1784118800.497819,1270,ble,"{""index"":{""age_s"":0.00916433334350586,""channels"":3,""force"":[-0.38119144040394914,-0.7329557000100015],""has_data"":true,""last_update_ts"":1784118800.4886546,""raw"":[16940,16147,17864]},""middle"":{""age_s"":0.00916433334350586,""channels"":3,""force"":[-0.026438246181864855,0.05078791862999843],""has_data"":true,""last_update_ts"":1784118800.4886546,""raw"":[15687,15632,15568]},""pinky"":{""age_s"":0.00916433334350586,""channels"":3,""force"":[1.4882329123463052,0.44238219833999715],""has_data"":true,""last_update_ts"":1784118800.4886546,""raw"":[16588,19684,17339]},""ring"":{""age_s"":0.00916433334350586,""channels"":3,""force"":[0.33119912035097165,0.7002072060299991],""has_data"":true,""last_update_ts"":1784118800.4886546,""raw"":[15725,16414,14808]},""thumb"":{""age_s"":0.00916433334350586,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.4886546,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997200,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009189386008074507,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1269,""timestamp_us"":9765290560},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.4886546,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.4886546,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.4886546,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.4886546,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.4886546,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.5479767,1784118800.5478315,1271,ble,"{""index"":{""age_s"":0.009180307388305664,""channels"":3,""force"":[-0.4018613419643131,-0.7615412498400014],""has_data"":true,""last_update_ts"":1784118800.5386512,""raw"":[16973,16137,17927]},""middle"":{""age_s"":0.009180307388305664,""channels"":3,""force"":[-0.020669901560363968,-0.03247096437000252],""has_data"":true,""last_update_ts"":1784118800.5386512,""raw"":[15765,15722,15802]},""pinky"":{""age_s"":0.009180307388305664,""channels"":3,""force"":[-1.022439084160398,-0.7484973581700007],""has_data"":true,""last_update_ts"":1784118800.5386512,""raw"":[17413,15286,17698]},""ring"":{""age_s"":0.009180307388305664,""channels"":3,""force"":[0.2725542833657464,0.2489440601699986],""has_data"":true,""last_update_ts"":1784118800.5386512,""raw"":[15800,16367,15635]},""thumb"":{""age_s"":0.009180307388305664,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.5386512,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997206,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009205476992065087,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1270,""timestamp_us"":9765347008},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.5386512,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.5386512,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.5386512,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.5386512,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.5386512,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.597958,1784118800.5978265,1272,ble,"{""index"":{""age_s"":0.009175777435302734,""channels"":3,""force"":[-0.40089995119406474,-0.7620963090599995],""has_data"":true,""last_update_ts"":1784118800.5886507,""raw"":[16969,16135,17925]},""middle"":{""age_s"":0.009175777435302734,""channels"":3,""force"":[-0.023554073871112635,-0.0346912012500038],""has_data"":true,""last_update_ts"":1784118800.5886507,""raw"":[15774,15725,15812]},""pinky"":{""age_s"":0.009175777435302734,""channels"":3,""force"":[-1.0258039518562718,-0.7432242955800001],""has_data"":true,""last_update_ts"":1784118800.5886507,""raw"":[17424,15290,17696]},""ring"":{""age_s"":0.009175777435302734,""channels"":3,""force"":[0.2797647141426225,0.2586575965199973],""has_data"":true,""last_update_ts"":1784118800.5886507,""raw"":[15803,16385,15628]},""thumb"":{""age_s"":0.009175777435302734,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.5886507,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997211,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009196669998345897,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1271,""timestamp_us"":9765394080},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.5886507,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.5886507,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.5886507,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.5886507,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.5886507,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.64795,1784118800.6478233,1273,ble,"{""index"":{""age_s"":0.009165287017822266,""channels"":3,""force"":[-0.39849647426844115,-0.7607086610100016],""has_data"":true,""last_update_ts"":1784118800.638658,""raw"":[16965,16136,17921]},""middle"":{""age_s"":0.009165287017822266,""channels"":3,""force"":[-0.019227815404990523,-0.03385861242000221],""has_data"":true,""last_update_ts"":1784118800.638658,""raw"":[15765,15725,15806]},""pinky"":{""age_s"":0.009165287017822266,""channels"":3,""force"":[-1.0258039518562736,-0.7476647693400018],""has_data"":true,""last_update_ts"":1784118800.638658,""raw"":[17425,15291,17705]},""ring"":{""age_s"":0.009165287017822266,""channels"":3,""force"":[0.27303497875087146,0.25477218197999907],""has_data"":true,""last_update_ts"":1784118800.638658,""raw"":[15797,16365,15622]},""thumb"":{""age_s"":0.009165287017822266,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.638658,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997216,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009185507005895488,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1272,""timestamp_us"":9765441088},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.638658,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.638658,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.638658,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.638658,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.638658,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.6979408,1784118800.6978238,1274,ble,"{""index"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-0.4158015081329296,-0.77958067449],""has_data"":true,""last_update_ts"":1784118800.6886582,""raw"":[16974,16109,17946]},""middle"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-0.015862947709120334,-0.037466497350000516],""has_data"":true,""last_update_ts"":1784118800.6886582,""raw"":[15776,15743,15827]},""pinky"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[-1.0214776933901497,-0.7390613514300011],""has_data"":true,""last_update_ts"":1784118800.6886582,""raw"":[17420,15295,17689]},""ring"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[0.2812068002979924,0.2705913697499982],""has_data"":true,""last_update_ts"":1784118800.6886582,""raw"":[15794,16379,15599]},""thumb"":{""age_s"":0.009165525436401367,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.6886582,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997222,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009185788003378548,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1273,""timestamp_us"":9765497472},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.6886582,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.6886582,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.6886582,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.6886582,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.6886582,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.7479653,1784118800.7478297,1275,ble,"{""index"":{""age_s"":0.009170293807983398,""channels"":3,""force"":[-0.3994578650386895,-0.7607086610100007],""has_data"":true,""last_update_ts"":1784118800.7386594,""raw"":[16970,16139,17925]},""middle"":{""age_s"":0.009170293807983398,""channels"":3,""force"":[-0.02018920617524067,-0.03385861242000221],""has_data"":true,""last_update_ts"":1784118800.7386594,""raw"":[15770,15728,15810]},""pinky"":{""age_s"":0.009170293807983398,""channels"":3,""force"":[-1.0267653426265184,-0.7454445324600023],""has_data"":true,""last_update_ts"":1784118800.7386594,""raw"":[17423,15287,17698]},""ring"":{""age_s"":0.009170293807983398,""channels"":3,""force"":[0.27495776029137,0.2531070043199959],""has_data"":true,""last_update_ts"":1784118800.7386594,""raw"":[15799,16371,15629]},""thumb"":{""age_s"":0.009170293807983398,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.7386594,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997227,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.009195478007313795,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1274,""timestamp_us"":9765544512},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.7386594,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.7386594,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.7386594,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.7386594,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.7386594,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
1784118800.7979734,1784118800.7978299,1276,ble,"{""index"":{""age_s"":0.009171724319458008,""channels"":3,""force"":[-0.3989771696535609,-0.7609861906200015],""has_data"":true,""last_update_ts"":1784118800.7886581,""raw"":[16968,16138,17924]},""middle"":{""age_s"":0.009171724319458008,""channels"":3,""force"":[-0.02355407387111441,-0.03080578670999934],""has_data"":true,""last_update_ts"":1784118800.7886581,""raw"":[15772,15723,15803]},""pinky"":{""age_s"":0.009171724319458008,""channels"":3,""force"":[-1.0234004749306482,-0.7473872397299992],""has_data"":true,""last_update_ts"":1784118800.7886581,""raw"":[17421,15292,17703]},""ring"":{""age_s"":0.009171724319458008,""channels"":3,""force"":[0.2739963695211216,0.251996885879997],""has_data"":true,""last_update_ts"":1784118800.7886581,""raw"":[15796,16366,15627]},""thumb"":{""age_s"":0.009171724319458008,""channels"":3,""force"":[0.0,-2.220446049250313e-16],""has_data"":true,""last_update_ts"":1784118800.7886581,""raw"":[0,0,0]}}","{""ble"":{""connection_state"":""connected"",""counter"":997232,""finger_order"":""DexterController.Visualizer"",""last_error"":null,""last_sample_age_s"":0.00919661000079941,""reconnect_count"":0,""sample_hz"":20.0,""sample_sequence"":1275,""timestamp_us"":9765591456},""fingers"":{""index"":{""has_data"":true,""last_update_ts"":1784118800.7886581,""mapped"":true},""middle"":{""has_data"":true,""last_update_ts"":1784118800.7886581,""mapped"":true},""pinky"":{""has_data"":true,""last_update_ts"":1784118800.7886581,""mapped"":true},""ring"":{""has_data"":true,""last_update_ts"":1784118800.7886581,""mapped"":true},""thumb"":{""has_data"":true,""last_update_ts"":1784118800.7886581,""mapped"":true}},""ports"":{""available"":[""BLE:Dexter""],""unavailable"":[]}}"
